id,source,source_doc,nda_type,jurisdiction,clause_name,clause_type,variant_id,text,placeholders_present
oneNDA_v2.1_mutual::PARTIES_AND_EXECUTION,OneNDA,oneNDA_v2.1_mutual,Mutual,,PARTIES_AND_EXECUTION,PARTIES,PARTIES_1,"PARTIES AND EXECUTION
{{PARTY_1_NAME}}
Entity details: {{PARTY_1_ENTITY_DETAILS}}
Email: {{PARTY_1_EMAIL}}

{{PARTY_2_NAME}}
Entity details: {{PARTY_2_ENTITY_DETAILS}}
Email: {{PARTY_2_EMAIL}}",{{PARTY_1_EMAIL}};{{PARTY_1_ENTITY_DETAILS}};{{PARTY_1_NAME}};{{PARTY_2_EMAIL}};{{PARTY_2_ENTITY_DETAILS}};{{PARTY_2_NAME}}
oneNDA_v2.1_mutual::CONFIDENTIAL_INFORMATION,OneNDA,oneNDA_v2.1_mutual,Mutual,,CONFIDENTIAL_INFORMATION,CONFIDENTIAL_INFORMATION,CONFINFO_1,"1. What is Confidential Information?
(a) Confidential Information means information that is disclosed:
(i) by a party to this Agreement (the Discloser) or on the Discloser’s behalf by its authorised representatives or its Affiliates,
(ii) to the other party to this Agreement (the Receiver), its Affiliates or Permitted Receivers, and
(iii) in connection with {{PURPOSE}}.

(b) Affiliates means any:
(i) entity that directly or indirectly controls, is controlled by, is under common control with or is otherwise in the same group of entities as a party to this Agreement, or
(ii) fund or limited partnership that is managed or advised, or whose general partner or manager is managed or advised, by the Receiver or its Affiliate or which the Receiver or its Affiliate controls.

(c) Permitted Receivers means the Receiver’s Affiliates and the Receiver’s or its Affiliates’ officers, employees, members, representatives, professional advisors, agents and subcontractors.

(d) Confidential Information does not include information that is:
(i) in the public domain not by breach of this Agreement,
(ii) known by the Receiver or its Permitted Receivers at the time of disclosure,
(iii) lawfully obtained by the Receiver or its Permitted Receivers from a third party other than through a breach of confidence,
(iv) independently developed by the Receiver, or
(v) expressly indicated by the Discloser as not confidential.",{{PURPOSE}}
oneNDA_v2.1_mutual::PERMITTED_DISCLOSURES,OneNDA,oneNDA_v2.1_mutual,Mutual,,PERMITTED_DISCLOSURES,PERMITTED_DISCLOSURES,PERMDISC_1,"2. Who can I share it with?
(a) The Receiver may share the Confidential Information with its Permitted Receivers, but only if they:
(i) need to know it, and only use it, for {{PURPOSE}}, and
(ii) have agreed to keep it confidential and restrict its use to the same extent that the Receiver has.

(b) The Receiver is liable for its breach of this Agreement and any act or omission by a Permitted Receiver which would constitute a breach of this Agreement if it were a party to it.

(c) The Receiver may share the Confidential Information if required by law or regulation but must promptly notify the Discloser of the requirement if allowed by law or regulation.",{{PURPOSE}}
oneNDA_v2.1_mutual::RECEIVER_OBLIGATIONS,OneNDA,oneNDA_v2.1_mutual,Mutual,,RECEIVER_OBLIGATIONS,OBLIGATIONS,OBLIG_1,"3. What are my obligations?
The Receiver must:
(a) only use the Confidential Information for {{PURPOSE}},
(b) keep the Confidential Information secure and confidential and only disclose it as allowed by this Agreement,
(c) promptly notify the Discloser if it becomes aware of a breach of this Agreement, and
(d) within thirty days of the Discloser’s request, take reasonable steps to destroy or erase any Confidential Information it holds, except the Receiver may retain copies of Confidential Information:
(i) that are securely stored in archival or computer back-up systems,
(ii) to meet legal or regulatory obligations, or
(iii) in accordance with bona fide record retention policies,
subject to this Agreement’s terms.",{{PURPOSE}}
oneNDA_v2.1_mutual::TERM_AND_TERMINATION,OneNDA,oneNDA_v2.1_mutual,Mutual,,TERM_AND_TERMINATION,TERM_AND_SURVIVAL,TERM_1,"4. How long do my obligations last?
(a) The Receiver’s obligations in relation to Confidential Information start on the date Confidential Information is disclosed and last until the end of the Confidentiality Period ({{CONFIDENTIALITY_PERIOD_NUMBER}} {{CONFIDENTIALITY_PERIOD_UNIT}}).
(b) A party may terminate this Agreement with thirty days’ prior written notice, but termination will not affect the parties’ obligations in relation to Confidential Information disclosed before termination, which continue until the Confidentiality Period expires.",{{CONFIDENTIALITY_PERIOD_NUMBER}};{{CONFIDENTIALITY_PERIOD_UNIT}}
oneNDA_v2.1_mutual::NOTICES,OneNDA,oneNDA_v2.1_mutual,Mutual,,NOTICES,NOTICES,NOTICE_1,5(a) Notices. Formal notices under this Agreement must be in writing and sent to the email addresses on the Agreement’s front page ({{PARTIES_FRONT_PAGE_EMAIL_ADDRESSES}}) as may be updated by a party to the other in writing.,{{PARTIES_FRONT_PAGE_EMAIL_ADDRESSES}}
oneNDA_v2.1_mutual::THIRD_PARTIES,OneNDA,oneNDA_v2.1_mutual,Mutual,,THIRD_PARTIES,THIRD_PARTY_RIGHTS,TPR_1,"5(b) Third parties. Except for the Discloser’s Affiliates, no one other than a party to this Agreement has the right to enforce any of its terms.",
oneNDA_v2.1_mutual::ENTIRE_AGREEMENT,OneNDA,oneNDA_v2.1_mutual,Mutual,,ENTIRE_AGREEMENT,ENTIRE_AGREEMENT,ENTIRE_1,5(c) Entire agreement. This Agreement supersedes all prior discussions and agreements and constitutes the entire agreement between the parties with respect to its subject matter and no party has relied on any statement or representation of any person in entering into this Agreement.,
oneNDA_v2.1_mutual::AMENDMENTS,OneNDA,oneNDA_v2.1_mutual,Mutual,,AMENDMENTS,AMENDMENTS,AMEND_1,5(d) Amendments. Any amendments to this Agreement must be agreed in writing.,
oneNDA_v2.1_mutual::ASSIGNMENT,OneNDA,oneNDA_v2.1_mutual,Mutual,,ASSIGNMENT,ASSIGNMENT,ASSIGN_1,5(e) Assignment. No party can assign this Agreement to anyone else without the other parties’ consent.,
